word,tfidf_score,genre
producer,2.766921231116159,rap
way,2.750434249970211,rap
work,2.5628917952145907,rap
mike,2.4304689612005017,rap
moment,2.420707951115117,rap
first,2.3976024090235617,rap
last,2.363639774696303,rap
production,2.3415856285142995,rap
much,2.3348672853236963,rap
project,2.3333119891708134,rap
could,2.315507432116122,rap
voice,2.3082732238800188,rap
take,2.306697215205506,rap
sample,2.2989250558171923,rap
love,2.297498665452935,rap
back,2.261591239100474,rap
drum,2.245913489481488,rap
two,2.237391868586586,rap
verse,2.235351791283507,rap
dont,2.2169190050100362,rap
black,2.2094234002679443,rap
say,2.1965989049504384,rap
bar,2.177863809370134,rap
vocal,2.1630036727266027,rap
flow,2.1489100145012183,rap
country,2.4976407479087017,folk
guitar,2.2835356478980002,folk
folk,1.9076175440095189,folk
time,1.8818443991237017,folk
year,1.8131082319778227,folk
way,1.7837384118554758,folk
first,1.695382669607283,folk
love,1.6625646908288985,folk
voice,1.652571812382826,folk
carter,1.5452048003000354,folk
rock,1.5440323821107695,folk
feel,1.4557366638750415,folk
last,1.4490846280871847,folk
make,1.3766594937182552,folk
much,1.2939220053022975,folk
two,1.2807338910664705,folk
studio,1.279419461640423,folk
long,1.2594169988361463,folk
light,1.2278500819561957,folk
band,1.1872159713235664,folk
work,1.1870586354892576,folk
lyric,1.1869304457213812,folk
sings,1.1780977305604057,folk
never,1.1767324349525081,folk
life,1.1709791930065243,folk
debut,1.1663480069966685,folk
moment,1.1580648059863037,folk
instrument,1.15307120149166,folk
melody,1.1493287564668082,folk
even,1.1387986121065083,folk
acoustic,1.133468907776384,folk
something,1.1012957606234681,folk
recording,1.0977977798501835,folk
still,1.0975827523379371,folk
thing,1.0944051559082448,folk
also,1.0916998939877796,folk
line,1.0748954094778806,folk
jazz,2.747130428831174,jazz
gendel,1.488231792481842,jazz
score,1.1957803743869577,jazz
time,1.1671095510545502,jazz
take,1.1480222487117224,jazz
work,1.1319173897011252,jazz
piano,1.107859828523559,jazz
two,1.0573625704371474,jazz
guitar,1.0301220996269913,jazz
feel,0.9983942278617883,jazz
saxophonist,0.9891035322413839,jazz
musician,0.9883734891268648,jazz
around,0.9846658218350851,jazz
first,0.9813582230311981,jazz
even,0.9733171863880861,jazz
solo,0.9731463235551969,jazz
instrument,0.9510721237782526,jazz
play,0.9387770680929477,jazz
make,0.9205528639506291,jazz
recorded,0.9048824321364158,jazz
moment,0.89318546210184,jazz
bass,0.8785399581544509,jazz
recording,0.8739398625310364,jazz
get,0.8643092029363026,jazz
saxophone,0.854531739931909,jazz
piece,0.8477466551841462,jazz
free,0.8349718183919453,jazz
live,0.8284209618086128,jazz
voice,0.8249642169927117,jazz
something,0.8150444357829763,jazz
playing,0.8087117158256457,jazz
player,0.7833436887938833,jazz
melody,0.7774595473340934,jazz
sander,0.7679641095486681,jazz
little,0.765505784017109,jazz
band,0.7633950424098932,jazz
life,0.7618342621587625,jazz
decade,0.7609481171789441,jazz
band,2.1918954412017517,metal
metal,1.86103915378915,metal
death,1.0490787983668537,metal
riff,1.0283678366180993,metal
death metal,0.9150218473073573,metal
everything,0.9122222632399085,metal
guitar,0.9098369445498897,metal
darkness,0.8553317531963909,metal
first,0.7890318613674526,metal
full,0.7491754147157382,metal
